ts,rpm,speed,throttle_pos,load,temp,manifold_pressure,intake_air_temp,maf
1558525469054,2463,48.4773151025,31.3725490196,84.7058823529,51,330.943188086,16,0.02380968
1558525470430,2489,48.4773151025,33.3333333333,66.6666666667,51,427.468284611,16,0.02380968
1558525471802,2518,49.0988191423,33.7254901961,63.9215686275,52,427.468284611,16,0.02380968
1558525473160,2550,50.3418272219,32.9411764706,63.5294117647,51,406.784335356,16,0.02380968
1558525474519,2574,50.3418272219,29.8039215686,58.0392156863,51,337.837837838,16,0.02380968
1558525475909,2577,50.3418272219,29.4117647059,51.3725490196,51,330.943188086,16,0.02380968
1558525477283,2574,50.3418272219,28.2352941176,47.8431372549,53,282.680639823,16,0.02380968
1558525478642,2555,50.3418272219,16.862745098,38.0392156863,53,151.682294539,16,0.02380968
1558525480000,2498,49.0988191423,23.5294117647,27.8431372549,53,317.153888582,16,0.02380968
1558525481358,2480,49.0988191423,29.4117647059,35.2941176471,53,268.89134032,16,0.02380968
1558525482736,2482,48.4773151025,21.9607843137,34.5098039216,53,165.471594043,16,0.02380968
1558525484107,2440,47.8558110628,25.8823529412,29.0196078431,54,358.521787093,17,0.02380968
1558525485513,2442,47.8558110628,33.7254901961,43.137254902,53,503.309431881,17,0.02380968
1558525486904,2489,49.0988191423,37.2549019608,57.2549019608,53,489.520132377,17,0.02380968
1558525488282,2517,49.7203231821,24.7058823529,54.1176470588,53,261.996690568,17,0.02380968
1558525489684,2507,49.0988191423,24.7058823529,43.5294117647,54,255.102040816,16,0.02380968
1558525491042,2490,48.4773151025,30.1960784314,40.7843137255,53,358.521787093,17,0.02380968
1558525492448,2494,49.0988191423,33.7254901961,47.4509803922,54,427.468284611,17,0.02380968
1558525493810,2524,49.7203231821,25.8823529412,49.0196078431,54,261.996690568,17,0.02380968
1558525495181,2513,49.0988191423,24.7058823529,41.1764705882,53,255.102040816,17,0.02380968
1558525496539,2454,48.4773151025,16.862745098,33.3333333333,53,151.682294539,17,0.02380968
1558525497945,2397,47.234307023,16.862745098,25.0980392157,53,144.787644788,17,0.02380968
1558525499338,2318,45.3697949037,16.862745098,20.3921568627,52,144.787644788,17,0.02380968
1558525500709,2240,44.1267868241,16.862745098,26.6666666667,51,193.05019305,17,0.02380968
1558525502101,1740,42.8837787446,16.862745098,12.9411764706,51,151.682294539,18,0.02380968
1558525503459,2635,39.7762585457,16.862745098,14.5098039216,51,151.682294539,18,0.02380968
1558525504864,2403,36.6687383468,16.862745098,16.0784313725,51,144.787644788,18,0.02380968
1558525506223,2114,31.6967060286,16.862745098,17.6470588235,50,165.471594043,18,0.02380968
1558525507596,1386,27.3461777502,16.862745098,36.0784313725,50,241.312741313,18,0.02380968
1558525508954,1007,23.6171535115,16.862745098,40.7843137255,50,255.102040816,18,0.02380968
1558525510313,904,21.1311373524,16.862745098,44.3137254902,50,261.996690568,18,0.02380968
1558525511681,886,18.6451211933,16.862745098,42.7450980392,49,255.102040816,18,0.02380968
1558525513061,869,15.5376009944,16.862745098,45.8823529412,50,268.89134032,18,0.02380968
1558525514467,900,11.8085767557,16.862745098,43.9215686275,50,261.996690568,18,0.02380968
1558525515859,909,6.83654443754,16.862745098,42.3529411765,49,255.102040816,18,0.02380968
1558525517236,881,4.35052827843,16.862745098,42.3529411765,49,261.996690568,18,0.02380968
1558525518623,892,0.0,16.862745098,43.9215686275,49,261.996690568,18,0.02380968
1558525519997,885,0.0,16.862745098,43.9215686275,49,255.102040816,18,0.02380968
1558525521372,858,0.0,16.862745098,43.5294117647,50,261.996690568,18,0.02380968
1558525522730,857,0.0,16.862745098,45.4901960784,50,261.996690568,18,0.02380968
1558525524103,866,0.0,16.862745098,45.0980392157,50,261.996690568,18,0.02380968
1558525525478,851,0.0,16.862745098,45.8823529412,51,261.996690568,18,0.02380968
1558525526852,839,0.0,16.862745098,44.7058823529,50,268.89134032,18,0.02380968
1558525528227,868,0.0,16.862745098,43.137254902,49,261.996690568,18,0.02380968
1558525529589,863,0.0,16.862745098,43.137254902,49,261.996690568,18,0.02380968
1558525530944,869,0.0,16.862745098,42.7450980392,49,261.996690568,18,0.02380968
